1.10959	0.87867	0.98660
1.10866	0.87852	0.98663
1.10772	0.87838	0.98666
1.10678	0.87823	0.98669
1.10585	0.87809	0.98673
1.10491	0.87794	0.98676
1.10398	0.87780	0.98679
1.10304	0.87766	0.98682
1.10211	0.87751	0.98686
1.10117	0.87737	0.98689
1.10023	0.87722	0.98692
1.09930	0.87708	0.98695
1.09836	0.87693	0.98699
1.09743	0.87679	0.98702
1.09649	0.87664	0.98705
1.09555	0.87650	0.98708
1.09462	0.87636	0.98712
1.09368	0.87621	0.98715
1.09275	0.87607	0.98718
1.09181	0.87592	0.98721
1.09087	0.87578	0.98725
1.08994	0.87563	0.98728
1.08900	0.87549	0.98731
1.08807	0.87534	0.98734
1.08713	0.87520	0.98738
1.08619	0.87506	0.98741
1.08526	0.87491	0.98744
1.08432	0.87477	0.98747
1.08339	0.87462	0.98751
1.08245	0.87448	0.98754
1.08152	0.87433	0.98757
1.08058	0.87419	0.98760
1.07964	0.87404	0.98764
1.07871	0.87390	0.98767
1.07777	0.87376	0.98770
1.07684	0.87361	0.98773
1.07590	0.87347	0.98777
1.07496	0.87332	0.98780
1.07403	0.87318	0.98783
1.07309	0.87303	0.98786
1.07216	0.87289	0.98790
1.07122	0.87274	0.98793
1.07028	0.87260	0.98796
1.06935	0.87246	0.98799
1.06841	0.87231	0.98803
1.06748	0.87217	0.98806
1.06654	0.87202	0.98809
1.06561	0.87188	0.98812
1.06467	0.87173	0.98816
1.06373	0.87159	0.98819
1.06280	0.87144	0.98822
1.06186	0.87130	0.98825
1.06093	0.87116	0.98829
1.05999	0.87101	0.98832
1.05905	0.87087	0.98835
1.05812	0.87072	0.98838
1.05718	0.87058	0.98842
1.05625	0.87043	0.98845
1.05531	0.87029	0.98848
1.05437	0.87014	0.98851
1.05344	0.87000	0.98855
1.05250	0.86986	0.98858
1.05157	0.86971	0.98861
1.05063	0.86957	0.98864
1.04969	0.86942	0.98868
1.04876	0.86928	0.98871
1.04782	0.86913	0.98874
1.04689	0.86899	0.98877
1.04595	0.86884	0.98881
1.04502	0.86870	0.98884
1.04408	0.86856	0.98887
1.04314	0.86841	0.98890
1.04221	0.86827	0.98894
1.04127	0.86812	0.98897
1.04034	0.86798	0.98900
1.03940	0.86783	0.98903
1.03846	0.86769	0.98907
1.03753	0.86754	0.98910
1.03659	0.86740	0.98913
1.03566	0.86726	0.98916
1.03472	0.86711	0.98920
1.03378	0.86697	0.98923
1.03285	0.86682	0.98926
1.03191	0.86668	0.98929
1.03098	0.86653	0.98933
1.03004	0.86639	0.98936
1.02911	0.86624	0.98939
1.02817	0.86610	0.98942
1.02723	0.86596	0.98946
1.02630	0.86581	0.98949
1.02536	0.86567	0.98952
1.02443	0.86552	0.98955
1.02349	0.86538	0.98959
1.02255	0.86523	0.98962
1.02162	0.86509	0.98965
1.02068	0.86494	0.98968
1.01975	0.86480	0.98972
1.01881	0.86466	0.98975
1.01787	0.86451	0.98978
1.01694	0.86437	0.98981
1.01600	0.86422	0.98985
1.01507	0.86408	0.98988
1.01413	0.86393	0.98991
1.01319	0.86379	0.98994
1.01226	0.86364	0.98998
1.01132	0.86350	0.99001
1.01039	0.86336	0.99004
1.00945	0.86321	0.99007
1.00852	0.86307	0.99011
1.00758	0.86292	0.99014
1.00664	0.86278	0.99017
1.00571	0.86263	0.99020
1.00477	0.86249	0.99024
1.00384	0.86234	0.99027
1.00290	0.86220	0.99030
1.00283	0.86233	0.99032
1.00277	0.86245	0.99034
1.00270	0.86258	0.99036
1.00263	0.86271	0.99038
1.00257	0.86284	0.99040
1.00250	0.86296	0.99042
1.00244	0.86309	0.99043
1.00237	0.86322	0.99045
1.00230	0.86334	0.99047
1.00224	0.86347	0.99049
1.00217	0.86360	0.99051
1.00210	0.86373	0.99053
1.00204	0.86385	0.99055
1.00197	0.86398	0.99057
1.00191	0.86411	0.99059
1.00184	0.86423	0.99061
1.00177	0.86436	0.99063
1.00171	0.86449	0.99065
1.00164	0.86462	0.99067
1.00157	0.86474	0.99069
1.00151	0.86487	0.99070
1.00144	0.86500	0.99072
1.00138	0.86512	0.99074
1.00131	0.86525	0.99076
1.00124	0.86538	0.99078
1.00118	0.86550	0.99080
1.00111	0.86563	0.99082
1.00104	0.86576	0.99084
1.00098	0.86589	0.99086
1.00091	0.86601	0.99088
1.00085	0.86614	0.99090
1.00078	0.86627	0.99092
1.00071	0.86639	0.99094
1.00065	0.86652	0.99096
1.00058	0.86665	0.99097
