480.757	1520	0.0562552	130	0.35	0.992093
480.669	1520	0.0562552	130	0.4	0.991537
476.272	1540	0.0548035	140	0.3	0.993066
473.754	1540	0.0548035	140	0.35	0.992556
479.518	1540	0.0548035	140	0.4	0.992015
477.412	1550	0.0540987	140	0.25	0.99376
470.474	1550	0.0540987	140	0.3	0.993285
472.062	1550	0.0540987	140	0.35	0.992782
482.121	1550	0.0540987	140	0.4	0.992248
480.569	1560	0.0534073	140	0.25	0.993969
477.689	1560	0.0534073	140	0.3	0.9935
483.532	1560	0.0534073	140	0.35	0.993003
478.975	1570	0.0527291	150	0.25	0.994174
478.033	1570	0.0527291	150	0.3	0.99371
484.108	1580	0.0520638	150	0.2	0.994807
478.246	1580	0.0520638	150	0.25	0.994374
481.358	1580	0.0520638	150	0.3	0.993917
